City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rainfall(1hr),Snowfall(1hr)
326,Polyarnyy,RU,69.2,33.45,50.0,81,40,6.71,scattered clouds,0,0
327,Flin Flon,CA,54.77,-101.86,78.8,50,20,8.05,few clouds,0,0
328,Anderson,US,34.53,-82.65,84.2,70,90,9.17,overcast clouds,0,0
329,Urucara,BR,-2.54,-57.76,78.82,45,1,2.57,clear sky,0,0
330,Marzuq,YE,14.4,46.47,78.33,60,4,5.19,clear sky,0,0
331,Saint Anthony,US,45.02,-93.22,82.4,44,1,8.05,clear sky,0,0
332,Alghero,IT,40.56,8.32,73.4,78,0,2.24,clear sky,0,0
333,Tomatlan,MX,19.93,-105.25,82.29,81,92,4.83,moderate rain,0,0
334,Port-Gentil,GA,-0.72,8.78,77.0,83,75,13.69,broken clouds,0,0
335,Praia Da Vitoria,PT,38.73,-27.07,77.0,83,40,16.96,scattered clouds,0,0
336,Istanbul,TR,41.04,28.98,78.8,65,0,8.05,clear sky,0,0
337,Belomorsk,RU,64.52,34.77,58.78,93,89,9.78,moderate rain,0,0
338,Yamada,JP,39.47,141.95,72.16,73,4,8.3,clear sky,0,0
339,Saint-Augustin,CA,51.23,-58.65,58.93,80,35,12.15,light rain,0,0
340,Sept-Iles,CA,50.2,-66.38,59.0,100,90,9.17,mist,0,0
341,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,76.66,83,11,2.77,few clouds,0,0
342,Dwarka,IN,22.24,68.97,84.87,77,94,14.85,overcast clouds,0,0
343,Tahlequah,US,35.92,-94.97,78.8,88,90,7.83,light rain,0,0
344,Assiniboia,CA,49.63,-105.98,89.65,26,50,4.41,scattered clouds,0,0
345,Caravelas,BR,-17.71,-39.25,68.7,75,0,3.38,clear sky,0,0
346,Muli,MV,2.92,73.57,83.07,75,95,17.34,light rain,0,0
347,Fairbanks,US,64.84,-147.72,68.0,55,1,6.93,clear sky,0,0
348,Bathsheba,BB,13.22,-59.52,82.4,83,40,18.34,scattered clouds,0,0
349,Gondanglegi,ID,-7.75,112.01,70.56,73,23,10.29,few clouds,0,0
350,Jos,NG,9.92,8.9,65.05,97,88,4.16,moderate rain,0,0
351,Bolshoye Nagatkino,RU,54.52,47.97,59.0,82,35,4.47,scattered clouds,0,0
352,Anjozorobe,MG,-18.4,47.87,57.2,93,40,3.36,scattered clouds,0,0
353,Tevaitoa,PF,-16.78,-151.5,80.19,76,90,19.66,overcast clouds,0,0
354,Solok,ID,-0.79,100.66,70.34,83,91,1.48,overcast clouds,0,0
355,Mareeba,AU,-17.0,145.43,73.0,54,12,4.0,few clouds,0,0
356,Beloha,MG,-25.17,45.05,61.12,95,3,6.06,clear sky,0,0
357,Kibala,TD,9.11,18.35,69.06,96,100,2.42,overcast clouds,0,0
358,Omboue,GA,-1.57,9.26,74.05,80,99,7.96,overcast clouds,0,0
359,Berlevag,NO,70.86,29.09,52.52,86,5,16.44,clear sky,0,0
360,Hambantota,LK,6.12,81.12,79.2,82,63,17.38,broken clouds,0,0
361,Bac Lieu,VN,9.29,105.72,81.12,81,100,8.48,overcast clouds,0,0
362,Chifeng,CN,42.27,118.96,80.1,58,43,11.48,scattered clouds,0,0
363,Frutal,BR,-20.02,-48.94,74.79,44,59,0.87,broken clouds,0,0
364,Nanortalik,GL,60.14,-45.24,46.4,90,55,6.93,broken clouds,0,0
365,Margate,GB,51.38,1.39,64.0,63,85,1.99,overcast clouds,0,0
366,Nam Phong,TH,16.7,102.86,77.0,94,40,2.24,scattered clouds,0,0
367,Bloomfield,US,40.81,-74.19,89.6,55,1,10.29,clear sky,0,0
368,Coahuayana,MX,18.73,-103.68,69.8,94,90,2.53,overcast clouds,0,0
369,Vestmannaeyjar,IS,63.44,-20.27,52.11,88,35,6.11,scattered clouds,0,0
370,Yasnyy,RU,51.03,59.87,63.88,66,45,4.5,scattered clouds,0,0
371,Pahrump,US,36.21,-115.98,107.01,3,0,1.99,clear sky,0,0
372,Itacare,BR,-14.28,-39.0,70.72,79,3,7.58,clear sky,0,0
373,Evensk,RU,61.95,159.23,53.64,72,98,6.51,light rain,0,0
374,Ulladulla,AU,-35.35,150.47,55.99,71,9,9.17,clear sky,0,0
375,Marfino,RU,55.7,37.38,66.2,93,75,8.95,light intensity shower rain,0,0
376,La Roche-Sur-Yon,FR,46.67,-1.43,62.6,63,0,6.93,clear sky,0,0
377,Butterworth,MY,5.4,100.36,80.6,88,40,2.24,scattered clouds,0,0
378,Ponta Do Sol,PT,32.67,-17.1,71.6,60,40,8.05,scattered clouds,0,0
379,Athabasca,CA,54.72,-113.29,79.39,59,50,2.75,scattered clouds,0,0
380,Ajdabiya,LY,30.76,20.23,76.44,48,0,9.31,clear sky,0,0
381,Fundacion,CO,10.52,-74.19,86.0,76,51,4.0,broken clouds,0,0
382,Rio Gallegos,AR,-51.62,-69.22,33.8,86,76,8.05,broken clouds,0,0
383,Tessalit,ML,20.2,1.01,94.14,20,3,8.93,clear sky,0,0
